Intel Core Ultra 5 225F【10核】3.3G(↑4.9G)/20M/無內顯【代理盒裝】,$5950↘$5100 ◆ ★
Intel Core Ultra 5 225【10核】3.3G(↑4.9G)/20M/內顯Xe-core【代理盒裝】,$6250↘$5280 ◆ ★
Intel Core Ultra 5 235【14核】3.4G(↑5.0G)/24M/內顯Xe-core【代理盒】,$7990↘$7800 ◆ ★
Intel Core Ultra 5 245KF【14核】4.2G(↑5.2G)/24M/無內顯/無風扇【代理盒裝】,$8800↘$6350 ◆ ★
[10/31止 245KF專案] Core Ultra 5 245KF =>搭技嘉 B860 GAMING系列+送金士頓16G,$6350 ★
Intel Core Ultra 5 245K【14核】4.2G(↑5.2G)/24M/內顯Xe-core/無風扇【代理盒】,$9100↘$6950 ◆ ★
[10/31止 245K專案] Core Ultra 5 245K =>搭技嘉 B860 GAMING系列+送金士頓16G,$6950 ★
Intel Core Ultra 7 265KF【20核】3.9G(↑5.5G)/30M/無內顯/無風扇【代理盒裝】,$9300 ◆ ★
[10/31止 265KF專案]Core Ultra 7 265KF=>搭微星/華擎 Z890主板+送美光16GB-D5 二片,$9300 ★ 熱賣
[10/31止 265KF專案]Core Ultra 7 265KF=>搭華碩/技嘉Z890主板送金士頓32G(16G*2雙通道RAM),$9300 ◆ ★ 熱賣
[共襄盛舉搭購價]微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保 現省500！,$1790 ★
Intel Core Ultra 7 265K【20核】3.9G(↑5.5G)/30M/內顯Xe-core/無風扇【代理盒】,$9900↘$9700 ◆ ★
[10/31止 265K專案]Core Ultra 7 265K =>搭微星/華擎 Z890主板+送美光16GB-D5 二片,$9700 ◆ ★ 熱賣
[10/31止 265K專案]Core Ultra 7 265K=>搭華碩/技嘉Z890主板送金士頓32G(16G*2雙通道RAM),$9700 ◆ ★ 熱賣
[共襄盛舉搭購價]微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保 現省500！,$1790 ★
Intel Core Ultra 9 285K【24核】3.7G(↑5.7G)/36M/內顯Xe-core/無風扇【代理盒】,$19300↘$19200 ◆ ★
[285K專案]Core Ultra 9 285K=>搭技嘉Z890主板送金士頓32G(16G*2雙通道RAM),$19200 ★ 熱賣
Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/12M/UHD730/60W 【代理盒裝】,$3750 ◆ ★
Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G)/20M/無內顯/65W 【代理盒裝】,$4450 ◆ ★
Intel i5-14400【10核/16緒】2.5GHz(↑4.7G)/20M/UHD730/65W 【代理盒裝】,$5600 ◆ ★ 熱賣
Intel i7-14700【20核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W 【代理盒裝】,$9900 ◆ ★
